title,text,url,label
Duale suspends Nursing Council CEO Lister Onsongo over regulations breach,"Health Cabinet Secretary Aden Duale during a press briefing at Afya House, Nairobi, on April 25, 2025. [Benard Orwongo, Standard]

Health Cabinet Secretary Aden Duale has suspended Dr. Lister Onsongo, the Chief Executive Officer of the Nursing Council of Kenya, for breach of regulations.

In a statement on Monday, the CS made the move after uncovering a serious breach of regulations involving the Nursing Council of Kenya (NCK) and Ten Public and Private Universities.

“In line with this, the Ministry has suspended Dr. Lister Onsongo, the Chief Executive Officer of the Nursing Council of Kenya, pending the outcome of a comprehensive internal audit of the full cohort of 2,098 BSc Nursing interns. Consequently, I have appointed Ms. Ann Mukuna, Director Standards and Compliance, to take over the operations of the Council until further notice,” stated Duale.

Onsongo's termination involves allegations of unlawfully submitting 42 Bachelor of Science (BSc) Nursing students for internship before they had completed their academic programmes.

“Consequently, the Ministry has revoked all internship letters issued to the affected 42 students with immediate effect. These individuals have been immediately instructed to vacate their duty stations as investigations commence,” he added.

According to the Ministry, the action is in direct contravention of the Nursing Council Act and the guidelines approved by the Public Service Commission (PSC).

The Ministry has expressed commitment to upholding the integrity of healthcare training and deployment.

Duale further assured that all individuals found culpable—whether at the Ministry, the NCK, or within the leadership of the implicated universities—will be held fully accountable.

The Ministry is committed to safeguarding professional standards, ensuring compliance with statutory requirements, and protecting the rights of nursing graduates and the public.",https://www.standardmedia.co.ke/national/article/2001524876/duale-suspends-nursing-council-ceo-lister-onsongo-over-regulations-breach,real
Caf expect flood of football fans in Kenya for CHAN,"NAIROBI, Kenya, July 21, 2025 – Confederation of African Football (Caf) secretary general Veron Mosengo-Omba expects a record attendance at next month’s African Nations Championships (CHAN) in Kenya, Uganda and Tanzania.

Mosengo-Omba says anticipation in the rest of the continent is fever-pitch as the countdown to the competition continues.

“On my way from the airport, we could see that it is all about Pamoja CHAN. The marketing is really good and people from all over Africa are now looking to the tournament. They can’t wait to buy the tickets so they can come and watch the matches,” Mosengo-Omba said.

The secretary general further praised three countries for the exemplary preparation for the tourney, noting that it is a learning experience for co-hosts of future competitions.

“I would say it is not only about one country but the three countries…the Pamoja bid. They have done very well and there’s a lot we are learning on how three countries in the continent can co-host a tournament of such magnitude,” he said.

Mosengo-Omba was speaking during a day-long tour of the Kasarani and Nyayo stadia, which are set to host the Group A matches as well as the Group C fixture between Niger and Algeria — in the case of Nyayo.

The secretary general said it is all systems go, giving a thumbs up for the two venues.

“We are ready…you can see even the grass is in top condition as well as changing rooms. Everything is ready. There are of course, a few things remaining here and there but overall, we are ready for CHAN,” he said.

He called on all Kenyans to turn up at the stadia to support not only the home team but also the other nations who will be playing in the country.

The competition is set for kick off on August 2 at the Benjamin Mkapa Stadium in Dar es Salaam where Tanzania face Burkina Faso.

The national football team, Harambee Stars, step on the Kasarani turf the next day to face the Democratic Republic of Congo.",https://www.capitalfm.co.ke/sports/2025/07/21/caf-expect-flood-of-football-fans-in-kenya-for-chan/,real
Why Ruto-Raila will be upset with Mulembe political shift,"President William Ruto and former Prime Minister Raila Odinga at the official opening of the Sub-County Headquarter Offices in Rangwe, Homa Bay county.

The big shift that is taking place in Luhya politics should be a cause for worry to president William Ruto, his broad based ally Raila Odinga, plus Kenya Kwanza confidants Speaker Moses Wetangula and Prime Cabinet Secretary Musalia Mudavadi.

The vitality, drive and aliveness with which both pro and anti-establishment politicians from Western Kenya have ganged up to take on President Ruto’s government is astounding but it should worry his Kenya Kwanza administration that the dissent is growing even bigger.",https://www.standardmedia.co.ke/politics/article/2001524843/why-ruto-raila-will-be-upset-with-mulembe-political-shift,real
Retail investors win big as Nairobi bourse drops 100 minimum shares,"From left: Nairobi Securities Exchange (NSE) CEO Frank Mwiti, NSE EmpowerHER Lead Demi Murila, Chief of Staff in the Office of the First Lady Mary Muinde and NSE Chairman Kiprono Kittony ring the bell to launch the NSE EmpowerHER Patron’s Circle in May 2025. [Jenipher Wachie, Standard]

Retail investors at the Nairobi Securities Exchange (NSE) will, from August 1, be able to buy and sell shares in multiples of one as the market does away with the old rule that required investors to buy shares in lots of 100.

This is after the bourse received approval from the Capital Markets Authority (CMA) to amend the Equity Trading Rules, which restricted trading to 100 shares.

The new rule permits investors to trade shares up to a single unit. It seeks to draw more retail investors into the market.

Buying shares in blocks of 100 has, in the past, been cited as an entry barrier for many Kenyans. It has also kept many retail investors away from high-value stocks.

Head of Technical Services at the Kenya Association of Stockbrokers and Investment Banks (Kasib) Leah Maina said trading in smaller quantities could increase trading interest among retail investors.

“The amendment allows for trading of securities in multiples of one share. As a result, the Odd Lot Board currently used for trading smaller quantities will be phased out,” she said.

“This change supports the NSE strategic plan, which focuses on revitalising the market through greater retail participation.”

NSE said the amendment allows for the trading of stocks in multiples of one share. “We listened carefully to feedback from our investors and stakeholders, especially on the need to make our stock market more accessible, inclusive and responsive to the realities of retail investors,” said NSE Chief Executive Frank Mwiti.

“The approval of single-share trading marks a significant milestone in democratising access to the capital markets. By phasing out the Odd Lot Board and allowing trading in multiples of just one share, we are removing barriers to entry and enabling every Kenyan — regardless of income level — to invest, build wealth and participate in the growth of our economy.”

NSE expects the move to deepen liquidity, adding that it directly supports the NSE 2025–2029 Strategic Plan.

The strategic plan looks to grow retail investors at NSE to nine million by 2029, an audacious target for a market that has about 1.6 million, but only less than 40,000 are active. Nine million investors would also mean about a third of Kenya’s working population participating in the market.

NSE also plans to list an additional 40 companies on the market as it seeks to expand investment opportunities.

The market is currently riding on a wave of resurgence after a multi-year period characterised by a lull. Last year, the NSE emerged as the best-performing market in Africa in dollar terms according to the Morgan Stanley Capital International Frontier Markets Index.

The momentum has carried into 2025, with the market’s key performance indicators showing continued growth. For the six months ended June 30, 2025, all major NSE benchmark indices posted double-digit growth, according to data by NSE. The NSE All Share Index, which tracks the performance of all listed companies, climbed by 22.41 per cent.

The NSE 20 Share Index rose by 18.54 per cent, while the NSE 10 Share Index and NSE 25 Share Index gained 14.28 per cent and 13.89 per cent, respectively.",https://www.standardmedia.co.ke/business/business/article/2001524805/retail-investors-win-big-as-nairobi-bourse-drops-100-minimum-shares,real
Kenya bans export of raw macadamia nuts,"The Agriculture and food Authority (AFA) [Courtesy]

The Agriculture and food Authority (AFA) has announced plans to ban on exports and transit of raw macadamia nuts through Kenyan ports.

According to the authority the move is aimed at protecting local farmers and promoting domestic processing.

Dr. Bruno Linyiru, AFA Director General, made the announcement on Friday, 18 July, noting that the ban applies to all raw macadamia nuts, both in-shell and unprocessed, whether wet or dry, regardless of their country of origin.

“Exporters from foreign states intending to trade in raw macadamia are advised to use alternative foreign ports of exit and to refrain from routing raw macadamia produce through Kenya,” Linyiru warned

The directive follows multiple interceptions of macadamia consignments at Kenyan border points in recent weeks.

The AFA in the statement said the move is part of the enforcement of the Crops Act, 2013, and the Crops (Nuts and Oil Crops) Regulations, 2020, which prohibit the export of raw nuts in a bid to encourage local value addition.

“No raw macadamia nuts may be exported through or from Kenya,” Linyiru emphasized, noting that the measure is aimed at safeguarding the local processing industry and promoting industrial development.",https://www.standardmedia.co.ke/business/business/article/2001524644/kenya-bans-export-of-raw-macadamia-nuts,real
How Donald Trump's remittance tax is threatening property investments in Kenya,"Workers at Affordable housing at Lumumba in Kisumu city, traders taking opportunities that are cropping up from the project. [Michael Mute, Standard]

Kenya’s real estate sector could be staring at another shock following the American government’s move to tax diaspora remittances.

The move follows the signing into law of President Donald Trump’s “One Big Beautiful Bill” on July 4, 2025.",https://www.standardmedia.co.ke/business/real-estate/article/2001524476/how-donald-trumps-remittance-tax-is-threatening-property-investments-in-kenya,real
Kenya protests: 31 die in highest one-day death toll of year – DW – 07/08/2025,"The death toll from anti-government protests in Kenya surged to 31, which is the highest one-day death toll since protests began this year. The protests this year were fueled by a blogger's death in police custody.

The death toll from Kenya's anti-government protests on Monday has surged to 31, marking the highest single-day toll since demonstrations began earlier this year, according to the state-funded Kenya National Commission on Human Rights.

The report on Tuesday said another 107 people were injured and more than 500 were arrested amid widespread destruction of property, including supermarkets.

The figure did not include specifics and it was not clear whether the toll included police officers, who the report accused of working with armed gangs in the wake of violence.

Kenyans demanding better governance and removal of president

Kenyans have been protesting for weeks to call for better governance and police accountability, as well as demanding the removal of President William Ruto over alleged corruption.

Kenyans yesterday took to the streets to demand political reforms on a day — July 7 — that has significance in history because of major pro-democracy protests that took place on the same date thirty-five years ago.

The East African nation transitioned into a multiparty democracy from a one-party state with elections in 1992.

During protests yesterday, police blocked access to central Nairobi so people couldn't rally in the city center, as they had done before.

Police used water cannons and tear gas to dispel protesters gathered on July 7 Image: Monicah Mwangi/REUTERS

Young Kenyans last year had briefly stormed the parliament in Nairobi during protests over planned tax hikes, which were ultimately withdrawn.

Volker Turk, the UN high commissioner for human rights, on Tuesday urged that grievances leading to the protests be addressed, with his spokesperson saying Turk ""renews his call for calm and restraint, and full respect for the freedoms of expression, association and peaceful assembly.""

Edited by: Richard Connor",https://www.dw.com/en/kenya-protests-31-die-in-highest-one-day-death-toll-of-year/a-73204915,real
Marathon world record holder suspended after doping test – DW – 07,"Kenya's Ruth Chepngetich, who won last year's Chicago marathon in record time, has been provisionally suspended after testing positive for the banned substance hydrochlorothiazide.

Marathon world record holder Ruth Chepngetich has been provisionally suspended on suspicion of doping, World Athletics' independent Athletics Integrity Unit (AIU) said on Thursday.

The 30-year-old Kenyan smashed the women's marathon world record in Chicago in October last year with an astonishing time of 2:09:56 – almost two minutes faster than the previous record held by Ethiopia's Tigist Assefa (2:11:53).

On March 14 this year, however, she tested positive for the diuretic hydrochlorothiazide, which is banned because it can be used to hide traces of other banned substances. It can also be used to treat fluid retention and hypertension.

According to the AIU, Chepngetich was informed of the positive test on April 16 and agreed on a voluntary suspension three days later.

Chepngetich withdrew from London marathon

""When there is a positive test for diuretics and masking agents, a provisional suspension is not mandatory under the World Anti-Doping Code,"" explained AIU chief Brett Clothier.

""Chepngetich was not provisionally suspended by the AIU at the time of notification. However, on 19 April she opted for a voluntary provisional suspension while the AIU's investigation was ongoing.

""In the intervening months, the AIU continued its investigation and today issued a Notice of Charge and imposed its own provisional suspension.""

In April, Chepngetich withdrew from the London Marathon, saying she was ""not in the right place mentally or physically to race my best.""

The AIU emphasized that Chepngetich has the right to have her case heard by a disciplinary tribunal.

Chepngetich is not the first Kenyan runner to be banned in recent years, with former men's half-marathon world record holder Kibiwott Kandie and two-time Frankfurt men's marathon winner Brimin Misoi Kipkorir also coming to the attention of anti-doping authorities.

Edited by: Kieran Burke",https://www.dw.com/en/marathon-world-record-holder-suspended-after-doping-test/a-73316831,real
Kenya's Gen Z protestors face trauma amid ongoing rallies – DW – 07,"As Kenya's youth keep pushing for political and social change, they risk paying a steep personal price. Deadly clashes with police, emotional trauma and anxiety have become their new realities.

On June 25, Wendy, a young Kenyan woman, joined hundreds of demonstrators in Nairobi to protest the death of Albert Ojwang, a 31-year-old blogger and teacher who had just recently died in police custody. It was a bold decision on her part, one that came with much fear and uncertainty amid a growing government crackdown on dissent.

""Initially, I wasn't going to show up because I was a little bit scared. They said they were targeting women this time,"" Wendy told DW.

In the end, she returned home safely. But others didn't.

At least 19 people were killed nationwide during the protests held on that day, which coincided with the first anniversary of last year's storming of Kenya's parliament.

'I don't know whether I'll come back home'

Driven by widespread frustration over police brutality, economic hardship, and what many see as a failing government under President William Ruto, these demonstrations, which are largely led by young opposition voices who self-identify as Gen Z, have become a defining feature of the political landscape of Kenya.

But showing resistance can also take a toll on mental health. ""I am completely terrified most of the time when I'm getting out of the house to go for the protests,"" Wendy explained, highlighting a growing sense of anxiety among young people in the country.

Alex Mutua, another young protester, described the fear that now accompanies every demonstration and political rally, saying that ""Every time I go out to fight for my country, I don't know if I'll be targeted by the police.""

""Going out and being part of that protest has been a really scary ordeal, considering how the police are handling the protests,"" he added.

Kenya’s president tells police to shoot looters' legs To view this video please enable JavaScript, and consider upgrading to a web browser that supports HTML5 video

Irene Mwari, a university student and regular protester in Nairobi, agreed that the emotional price that young people have to pay keeps growing.

""Once I go to a protest in Kenya, I don't really know whether I'll come back home,"" Mwari told DW.

Yet she feels driven by a desire to speak out against what she calls poor governance, even though each protest can become a gamble with her life.

Despite promising her parents that she would stay away from future demonstrations, Mwari admitted she has no intention of keeping her word.

""At the end of the day, we are the ones who have to live in Kenya with such bad governance. So, if we don't fight for a better future, I don't know who will.""

Violence and fear

The protests have grown increasingly dangerous over time. Kenya's National Commission on Human Rights reported that 31 people were killed during the July 7 ""Saba Saba” protests alone — making this the deadliest single day of rallies this year.

More than 100 were injured and 500 arrested; countless supermarkets and other businesses were looted or destroyed.

The commission has accused police of using live ammunition and collaborating with armed gangs to suppress these protests. Mwari agreed.

""If you're lucky enough you escape being shot. The government has used guns to disrupt peaceful protests. If they don't beat you up, you'll get robbed in broad daylight.""

Kenya one year after the Finance Bill protests To view this video please enable JavaScript, and consider upgrading to a web browser that supports HTML5 video

The Psychological toll

Mental health professionals in Kenya also stress that the protests are no longer just a political matter — they've become deeply personal and therefore are emotionally draining for many.

""We are experiencing collective trauma,"" said Kenyan psychologist Benta Wambui.

""Many young protesters are experiencing chronic stress and anxiety because of repeated exposure to violence. There is also emotional exhaustion, and sometimes there can be burnout and a growing sense of hopelessness,"" she added, underscoring the fact that the prolonged nature of the standoff between civilians and authorities, now lasting well over a year, can make such symptoms worse.

Geoffrey Mboya, a youth activist and community organizer, has been on the frontlines of the demonstrations from the beginning, initially getting involved in opposition movements two years ago already.

He said the emotional toll has changed him permanently: ""[The protests have] affected me in ways that I don't think I'll ever fully be able to articulate,"" he told DW.

""I have lost part of myself.""

Protests across Kenya, as seen here in Nakuru, are led tirelessly by the country's youth Image: James Wakibia/SOPA Images/Sipa USA/picture alliance

A deep desire to see change

Wambui noted that even those who are not physically present at protests are affected by the overall mood.

""There's also the weight of trauma and loss on Kenyans as a collective. So, we witnessed state brutality, people losing peers, and people losing family. Whether you knew these people or not, this can trigger grief and other PTSD symptoms as well as emotional numbness,"" she explained.

But despite the trauma, many young Kenyans say they won't stop protesting.

""Having faith that the protests will bring change is what keeps me going,"" said Mutua, a sentiment echoed also by Wendy. ""I really want a country that works, a country that works for me and my daughter,"" she said.

However, she also admitted that she's emotionally drained. ""Some days I feel so defeated. Sometimes even feel almost useless.""

Mboya meanwhile said he is fighting two battles at the same time: one against the government, and one with himself.

""The revolution needs a whole lot of people to be a support system. We need healing to fight well,"" he told DW, sharing that he has started going to therapy to address the traumatic experiences he has witnessed.

""Therapy doesn't make the pain go away, but it helps you carry it,"" he explained.

The need for healing

Wambui agreed that finding emotional support is essential for protesters to be able to continue their fight in a healthy manner. ""Grief spaces can be held where people can collectively process their trauma together and have peer support systems, where people can come together and talk about the things that are ongoing, whether that's virtual or in-person,"" she said.

She also called for broader mental health education.

""It's also important to have mental health literacy amongst the population for them to be able to recognize triggers, to recognize burnout, to recognize all these things, and to be able to get the help that they need.""

Andrew Wasike and Felix Maringa in Kenya contributed to this article

Edited by: Sertan Sanderson",https://www.dw.com/en/kenyas-gen-z-protestors-face-emotional-trauma-amid-ongoing-rallies/a-73228099,real
Refugee camps in Kenya feel impact of Donald Trump's cuts – DW – 07,"Sella Oneko

07/11/2025 July 11, 2025

Aid organizations around the world are feeling the impact of the Trump administration's decision to shut down USAID and to cut funding to other aid organizations. Kenya's two major refugee camps have been hit hard by the cuts. DW's Sella Oneko reports.",https://www.dw.com/en/refugee-camps-in-kenya-feel-impact-of-donald-trumps-cuts/video-73238115,real
